huc_names,huc_areas
1,300172399.4808
2,508066516.979
3,1401423171.6537
4,411299421.3221
5,365703775.9384
6,453888708.5135
7,531638565.6935
8,482541374.6286
9,470742385.8551
10,244359340.2214
