OBJECTID,Shape,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,VisibilityFilter,Shape_Length,Shape_Area,Rank,CumArea
5667,Polygon Z,61495801,10/16/12,High,1489474,Rieves Lake,0.058794,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.027694,0.000006,351,2.282767
57662,Polygon Z,61500451,11/15/02,High,<Null>,<Null>,0.061,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.014929,0.000006,352,2.343767
83247,Polygon Z,61498239,11/15/02,High,<Null>,<Null>,0.062,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.022955,0.000006,353,2.405767
83248,Polygon Z,61498271,11/15/02,High,<Null>,<Null>,0.062,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.011483,0.000006,354,2.467767
100679,Polygon Z,61496637,11/15/02,High,<Null>,<Null>,0.062,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.016966,0.000006,355,2.529767
100678,Polygon Z,61496611,11/15/02,High,<Null>,<Null>,0.063,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.013327,0.000006,356,2.592767
109221,Polygon Z,135656326,5/16/05 13:33,High,<Null>,<Null>,0.066,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.015493,0.000007,357,2.658767
5582,Polygon Z,61500969,10/16/12,High,<Null>,<Null>,0.068209,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.015813,0.000007,358,2.726976
74513,Polygon Z,61500981,11/15/02,High,<Null>,<Null>,0.069,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.009959,0.000007,359,2.795976
74757,Polygon Z,61497857,11/15/02,High,1502160,Wilcox Lake,0.073,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.02482,0.000007,360,2.868976
40112,Polygon Z,{EDEC90A5-E5CD-4DBA-A328-0BEB52EB2815},10/16/12,High,<Null>,<Null>,0.085802,<Null>,2.08021E+12,Reservoir,Reservoir,Unspecified,0.012864,0.000009,361,2.954778
23310,Polygon Z,61500555,11/15/02,High,<Null>,<Null>,0.088,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.016686,0.000009,362,3.042778
5837,Polygon Z,61496429,10/16/12,High,<Null>,<Null>,0.090325,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Intermittent,Unspecified,0.014524,0.000009,363,3.133103
92039,Polygon Z,61500745,11/15/02,High,<Null>,<Null>,0.112,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.02295,0.000011,364,3.245103
40423,Polygon Z,61500547,10/16/12,High,<Null>,<Null>,0.118577,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.021572,0.000012,365,3.36368
40422,Polygon Z,61496575,10/16/12,High,<Null>,<Null>,0.132946,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Intermittent,Unspecified,0.018655,0.000014,366,3.496626
83512,Polygon Z,61500587,11/15/02,High,<Null>,<Null>,0.166,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.029965,0.000017,367,3.662626
5839,Polygon Z,61500537,11/15/02,High,<Null>,<Null>,0.198,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.021092,0.00002,368,3.860626
135145,Polygon Z,{CE8B7EE7-0A7C-462F-A42F-60C944175174},10/16/12,High,<Null>,<Null>,0.216877,<Null>,<Null>,SwampMarsh,Swamp/Marsh: Hydrographic Category: Perennial,Unspecified,0.03491,0.000022,369,4.077503
23311,Polygon Z,61500443,11/15/02,High,<Null>,<Null>,0.316,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.066436,0.000032,370,4.393503
135216,Polygon Z,61496755,11/15/02,High,<Null>,<Null>,0.371,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.044583,0.000038,371,4.764503
48921,Polygon Z,61500795,10/16/12,High,<Null>,<Null>,0.415611,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.07299,0.000042,372,5.180114
49003,Polygon Z,61496573,10/16/12,High,<Null>,<Null>,0.470475,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.029864,0.000048,373,5.650589
66282,Polygon Z,61500539,11/15/02,High,<Null>,<Null>,0.479,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.053222,0.000049,374,6.129589
126574,Polygon Z,61500429,11/15/02,High,<Null>,<Null>,0.522,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.04761,0.000053,375,6.651589
5838,Polygon Z,61500527,11/15/02,High,<Null>,<Null>,0.674,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.05196,0.000068,376,7.325589
74936,Polygon Z,135655417,5/16/05 13:32,High,<Null>,<Null>,1.051,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.088764,0.000107,377,8.376589
120730,Polygon Z,61500449,10/16/12,High,<Null>,<Null>,1.215224,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.096036,0.000124,378,9.591813
94847,Polygon Z,61500583,11/15/02,High,<Null>,<Null>,1.435,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.140795,0.000146,379,11.026813
